GKGRECORDID,V2DATE,V1Persons
20150425074500-942,2015-04-25T07:45:00.000+02:00,mohammad shahab;minendra rijal
20150425081500-375,2015-04-25T08:15:00.000+02:00,mohammad shahab;munir ahmed;muneeza naqvi
20150425083000-1167,2015-04-25T08:30:00.000+02:00,mohammad shahab;munir ahmed;minendra rijal
20150425083000-468,2015-04-25T08:30:00.000+02:00,ravindra kumar
20150425084500-1344,2015-04-25T08:45:00.000+02:00,
20150425101500-969,2015-04-25T10:15:00.000+02:00,mohammad shahab;munir ahmed;muneeza naqvi
20150425103000-1524,2015-04-25T10:30:00.000+02:00,
20150425103000-477,2015-04-25T10:30:00.000+02:00,
20150425104500-592,2015-04-25T10:45:00.000+02:00,
20150425111500-316,2015-04-25T11:15:00.000+02:00,nawaz sharif;robin trygg;pushpa das;munir ahmed;jan m olsen;cho oyu;jenny adhikari;ang tshering
20150425111500-606,2015-04-25T11:15:00.000+02:00,
20150425113000-248,2015-04-25T11:30:00.000+02:00,niranjan shrestha
20150425113000-298,2015-04-25T11:30:00.000+02:00,nawaz sharif;robin trygg;pushpa das;munir ahmed;jan m olsen;cho oyu;jenny adhikari;ang tshering
20150425114500-575,2015-04-25T11:45:00.000+02:00,nawaz sharif;pushpa das;jelle veyt;carsten lillelund pedersen;jenny adhikari;liz satow;ang tshering
20150425123000-179,2015-04-25T12:30:00.000+02:00,rajnath singh;nripendra misra
20150425124500-1276,2015-04-25T12:45:00.000+02:00,
20150425130000-509,2015-04-25T13:00:00.000+02:00,rajnath singh;krishna prasad dhakal;gyanendra shrestha;daniel mazur;alex gavan;ram narayan pandey
20150425130000-910,2015-04-25T13:00:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;jan m olsen;jelle veyt;jenny adhikari;liz satow;ang tshering
20150425131500-143,2015-04-25T13:15:00.000+02:00,
20150425140000-857,2015-04-25T14:00:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;david a rothery;jan m olsen;jelle veyt;jenny adhikari;liz satow;ang tshering
20150425143000-692,2015-04-25T14:30:00.000+02:00,dennis whedbee
20150425144500-1002,2015-04-25T14:45:00.000+02:00,abigail hunter;david arvan
20150425150000-513,2015-04-25T15:00:00.000+02:00,
20150425153000-1598,2015-04-25T15:30:00.000+02:00,krishna prasad dhakal
20150425160000-379,2015-04-25T16:00:00.000+02:00,prajana w pradhan
20150425164500-719,2015-04-25T16:45:00.000+02:00,
20150425170000-1123,2015-04-25T17:00:00.000+02:00,aditya ghosh
20150425170000-644,2015-04-25T17:00:00.000+02:00,ian kelman;king birendra shah;daniel mazur;mohan krishna sapkota;alex gavan
20150425171500-322,2015-04-25T17:15:00.000+02:00,nawaz sharif;carsten lillelund pedersen;munir ahmed;seth borenstein;david a rothery;jan m olsen;los angeles;jelle veyt;jenny adhikari;shrish vaidya;sushil koirala;ang tshering
20150425173000-1665,2015-04-25T17:30:00.000+02:00,ian kelman;king birendra shah;daniel mazur;mohan krishna sapkota;alex gavan
20150425174500-1117,2015-04-25T17:45:00.000+02:00,
20150425174500-1143,2015-04-25T17:45:00.000+02:00,rajnath singh;ram baran yadav;nripendra misra;sushil koirala
20150425180000-1367,2015-04-25T18:00:00.000+02:00,laxmi dhakal;jelle veyt;pushpa das;carsten lillelund pedersen;ang tshering
20150425180000-1448,2015-04-25T18:00:00.000+02:00,carsten lillelund pedersen;mount khumbutse;glomnes johansen;gurinder osan;muneeza naqvi;jan m olsen;tenzing norgay;edmund hillary;gyanendra shrestha;ang tshering
20150425180000-190,2015-04-25T18:00:00.000+02:00,avtar singh makkar
20150425181500-223,2015-04-25T18:15:00.000+02:00,lillian nishkian;andrea garza;felix muzquiz
20150425181500-847,2015-04-25T18:15:00.000+02:00,
20150425183000-1534,2015-04-25T18:30:00.000+02:00,pecha kucha;scott scheele;anidesha chuli;david williams
20150425183000-33,2015-04-25T18:30:00.000+02:00,
20150425184500-881,2015-04-25T18:45:00.000+02:00,
20150425190000-1227,2015-04-25T19:00:00.000+02:00,ed miliband;gyanendra shretha;philip hammond;david cameron;tanya barron;ang tshering
20150425190000-207,2015-04-25T19:00:00.000+02:00,gordon janow;azim afif;tenzing norgay;edmund hillary;karly domb sadof;mount kumori;gyanendra shrestha;ang tshering
20150425190000-687,2015-04-25T19:00:00.000+02:00,ed miliband;gyanendra shretha;philip hammond;david cameron;tanya barron;ang tshering
20150425191500-543,2015-04-25T19:15:00.000+02:00,gabriele pileri;van gulik;gauri van gulik;isla binnie
20150425191500-998,2015-04-25T19:15:00.000+02:00,carsten lillelund pedersen;munir ahmed;glomnes johansen;seth borenstein;jan m olsen;jelle veyt;marin clark;deepak rauniar;shrish vaidya;sushil koirala;ang tshering
20150425193000-144,2015-04-25T19:30:00.000+02:00,jeffrey evanson
20150425193000-1523,2015-04-25T19:30:00.000+02:00,carsten lillelund pedersen;munir ahmed;glomnes johansen;seth borenstein;jan m olsen;jelle veyt;marin clark;deepak rauniar;shrish vaidya;sushil koirala;ang tshering
20150425193000-182,2015-04-25T19:30:00.000+02:00,john kerry;frances kerry;sandra maler;lisa lambert
20150425194500-1172,2015-04-25T19:45:00.000+02:00,
20150425201500-336,2015-04-25T20:15:00.000+02:00,angela merkel;mica bevington;uma mysorekar;david cameron;ben pickering;cardinal pietro parolin;jan m olsen;jim fitzgerald;pope francis;michael j nyenhuis;john kerry;francois hollande;karl ritter;boerge brende;neal keny-guyer;angela charlton
20150425203000-1441,2015-04-25T20:30:00.000+02:00,
20150425203000-297,2015-04-25T20:30:00.000+02:00,carsten lillelund pedersen;glomnes johansen;inder singh;vikas swarup;jelle veyt;siobhan heanue;marin clark;deepak rauniar;shrish vaidya;kishor rana;sushil koirala;ang tshering
20150425211500-51,2015-04-25T21:15:00.000+02:00,subhash acharya;manesh shrestha;joe mcenness
20150425214500-475,2015-04-25T21:45:00.000+02:00,qadeer baluch;nawaz sharif;mehnaz mahmud;zafar iqbal;dan fredinburg;mikko takkunen;sabeen mahmud;asim salim bajwa
20150425214500-693,2015-04-25T21:45:00.000+02:00,angela merkel;mica bevington;uma mysorekar;david cameron;ben pickering;cardinal pietro parolin;jan m olsen;jim fitzgerald;pope francis;michael j nyenhuis;john kerry;francois hollande;karl ritter;boerge brende;neal keny-guyer;angela charlton
20150425220000-1011,2015-04-25T22:00:00.000+02:00,malena castaldi;brian winnter;aerolineas argentinas;nicolas misculin;frances kerry;janet lawrence
20150425221500-736,2015-04-25T22:15:00.000+02:00,baltimore sandtown;justice allah;andre bazeman;anthony batts;tanya peacher;malik shabazz;dante acree;leonard patterson
20150425223000-386,2015-04-25T22:30:00.000+02:00,john kerry;peter w bodde;thomas nybo
20150425224500-1171,2015-04-25T22:45:00.000+02:00,luis hidalgo;pablo ruiz;puerto montt;rodrigo alvarez;edubino baez
20150425224500-1360,2015-04-25T22:45:00.000+02:00,dan fredinburg
20150425224500-495,2015-04-25T22:45:00.000+02:00,hsin-hua huang;robert b smith
20150425224500-707,2015-04-25T22:45:00.000+02:00,glomnes johansen;munir ahmed;seth borenstein;vikas swarup;jan m olsen;irina bokova;deepak rauniar;ang tshering;carsten lillelund pedersen;yuvraj khadka;jelle veyt;shiwani neupane;marin clark;shrish vaidya;sushil koirala
20150425224500-824,2015-04-25T22:45:00.000+02:00,jagan chapagain;alex gavan;gyanendra kumar shrestha;kamal singh bam;asia pacific;ram baran yadav;dharmu subedi;kari cuelenaere
20150425230000-327,2015-04-25T23:00:00.000+02:00,pranab mukherjee
20150425231500-1156,2015-04-25T23:15:00.000+02:00,rodrigo alvarez
20150425231500-193,2015-04-25T23:15:00.000+02:00,michael e webber
20150425234500-292,2015-04-25T23:45:00.000+02:00,edmund hillary;tenzing norgay;paul earle
20150425234500-637,2015-04-25T23:45:00.000+02:00,mount khumbutse;gurinder osan;jody kurash;ang tshering
20150425234500-92,2015-04-25T23:45:00.000+02:00,hussain gardezi;iqrar ahmad khan;ghurcharan singh kalkat;baldev singh dhilloon;noorul islam
20150425004500-185,2015-04-25T00:45:00.000+02:00,john bullard
20150425020000-1536,2015-04-25T02:00:00.000+02:00,cliff harvell
20150425023000-1561,2015-04-25T02:30:00.000+02:00,maria menounos;amy purdy;derek hough;amber riley
20150425030000-637,2015-04-25T03:00:00.000+02:00,doug ericksen;jay inslee;christine rolfes;phuong le
20150425044500-1011,2015-04-25T04:45:00.000+02:00,
20150425054500-202,2015-04-25T05:45:00.000+02:00,john lowe
20150425061500-950,2015-04-25T06:15:00.000+02:00,taylor steeves;lily gleason;doug allison
20150425074500-1136,2015-04-25T07:45:00.000+02:00,
20150425074500-802,2015-04-25T07:45:00.000+02:00,mohammad shahab;munir ahmed;muneeza naqvi
20150425080000-1201,2015-04-25T08:00:00.000+02:00,
20150425080000-182,2015-04-25T08:00:00.000+02:00,mohammad shahab;munir ahmed;minendra rijal
20150425080000-859,2015-04-25T08:00:00.000+02:00,
20150425083000-294,2015-04-25T08:30:00.000+02:00,ben jerry;sandra eskin;barack obama;jeff ventura;mary clare jalonick;david acheson;robert tauxe;john lowe
20150425091500-1209,2015-04-25T09:15:00.000+02:00,
20150425091500-1325,2015-04-25T09:15:00.000+02:00,
20150425093000-1390,2015-04-25T09:30:00.000+02:00,rupert murdoch;zeid raad al hussein
20150425101500-1122,2015-04-25T10:15:00.000+02:00,newton mhae;sunyale africa;xinhua sunyale africa;maina maringa;robert kipkorir
20150425103000-1212,2015-04-25T10:30:00.000+02:00,
20150425131500-328,2015-04-25T13:15:00.000+02:00,julie bishop;siobhan heanue;ballantyne forder
20150425131500-592,2015-04-25T13:15:00.000+02:00,king birendra shah;daniel mazur;mohan krishna sapkota;alex gavan
20150425133000-1294,2015-04-25T13:30:00.000+02:00,angelo mathews;imran tahir;albie morkel;brijesh bhatt;shreyas iyer
20150425140000-56,2015-04-25T14:00:00.000+02:00,nitish kumar
20150425141500-1004,2015-04-25T14:15:00.000+02:00,azim afif ishak;azham afzanizam hamzah;ahmad sabri abdul razak;jamhuri jumari;anis zulaikha zabani;farul aidib mahamad yusoff;sabri ahmad
20150425141500-794,2015-04-25T14:15:00.000+02:00,nitish kumar;anjani kumar singh
20150425143000-1660,2015-04-25T14:30:00.000+02:00,dennis whedbee
20150425150000-761,2015-04-25T15:00:00.000+02:00,shiwani neupane;kashish das shrestha;john parajuli;manesh shreshtra
20150425151500-1387,2015-04-25T15:15:00.000+02:00,
20150425151500-408,2015-04-25T15:15:00.000+02:00,john bullard
20150425151500-576,2015-04-25T15:15:00.000+02:00,nitish kumar;anirudh kumar
20150425154500-306,2015-04-25T15:45:00.000+02:00,rupam jain nair;krista mahr;daniel mazur;alex gavan;ruma paul;mark heinrich;manoj chaurasia;mohan krishna sapkota;king birendra shah;serajul quadir;douglas busvine;mayank bhardwaj;andrew macaskill;sanjeev miglani;kevin liffey;sharat pradhan
20150425161500-213,2015-04-25T16:15:00.000+02:00,
20150425161500-650,2015-04-25T16:15:00.000+02:00,ed miliband;gyanendra shretha;david cameron;tanya barron;ang tshering
20150425163000-1874,2015-04-25T16:30:00.000+02:00,
20150425164500-1207,2015-04-25T16:45:00.000+02:00,canaccord genuity
20150425170000-1552,2015-04-25T17:00:00.000+02:00,narendra shrestha;jelle veyt;carsten lillelund pedersen;dan mazur
20150425170000-698,2015-04-25T17:00:00.000+02:00,nischal kharel
20150425173000-203,2015-04-25T17:30:00.000+02:00,edmund hillary;tenzing norgay;seth borenstein;paul earle
20150425180000-1080,2015-04-25T18:00:00.000+02:00,oleg naydenov;jose antonio rodriguez;gran canaria
20150425184500-159,2015-04-25T18:45:00.000+02:00,madhav gadgil;valmiki naik
20150425184500-659,2015-04-25T18:45:00.000+02:00,ballantyne forder britishredcross;ballantyne paige forder
20150425184500-867,2015-04-25T18:45:00.000+02:00,carsten lillelund pedersen;munir ahmed;glomnes johansen;seth borenstein;zhou shengping xinhua;niranjan shrestha;jan m olsen;jelle veyt;marin clark;deepak rauniar;shrish vaidya;sushil koirala;ang tshering
20150425190000-519,2015-04-25T19:00:00.000+02:00,malena castaldi;felipe iturrieta;brian winnter;aerolineas argentinas;nicolas misculin;frances kerry;janet lawrence
20150425190000-648,2015-04-25T19:00:00.000+02:00,ed miliband;gyanendra shretha;philip hammond;david cameron;tanya barron;ang tshering
20150425191500-1164,2015-04-25T19:15:00.000+02:00,
20150425191500-143,2015-04-25T19:15:00.000+02:00,julie bishop;siobhan heanue;ballantyne forder
20150425193000-271,2015-04-25T19:30:00.000+02:00,
20150425194500-456,2015-04-25T19:45:00.000+02:00,diana khaddaj;sumesh kunwar;nitya khanal;stephane chouinard;reena vohra
20150425200000-1374,2015-04-25T20:00:00.000+02:00,carsten lillelund pedersen;munir ahmed;glomnes johansen;seth borenstein;vikas swarup;jan m olsen;jelle veyt;marin clark;deepak rauniar;shrish vaidya;sushil koirala;ang tshering
20150425200000-1554,2015-04-25T20:00:00.000+02:00,john pappalardo;ernest terry stockwell;mark leach;peter baker;john bullard
20150425203000-1510,2015-04-25T20:30:00.000+02:00,dale romans;kent desormeaux;victor espinoza;peter miller;jerry crawford
20150425204500-1274,2015-04-25T20:45:00.000+02:00,john kerry;bernadette meehan
20150425210000-1013,2015-04-25T21:00:00.000+02:00,ian kelman;king birendra shah;mohan krishna sapkota;alex gavan
20150425210000-639,2015-04-25T21:00:00.000+02:00,mount manaslu
20150425211500-1162,2015-04-25T21:15:00.000+02:00,james jackson;david wald;hari ghi
20150425211500-655,2015-04-25T21:15:00.000+02:00,subhash acharya;manesh shrestha;joe mcenness
20150425213000-1398,2015-04-25T21:30:00.000+02:00,jeffrey evanson
20150425213000-566,2015-04-25T21:30:00.000+02:00,ed miliband;david cameron
20150425213000-609,2015-04-25T21:30:00.000+02:00,billie schomburg;phil fenton;howard kruse;juan a lozano
20150425213000-899,2015-04-25T21:30:00.000+02:00,steve guthrie;gordon janow;dave hahn;kurt hunter;mark tucker
20150425214500-634,2015-04-25T21:45:00.000+02:00,billie schomburg;phil fenton;howard kruse;juan a lozano
20150425224500-781,2015-04-25T22:45:00.000+02:00,fukushima daiichi;indian ocean
20150425230000-1073,2015-04-25T23:00:00.000+02:00,carsten lillelund pedersen;glomnes johansen;jelle veyt;marin clark;shrish vaidya;deepak rauniar;ang tshering;sushil koirala
20150425231500-1146,2015-04-25T23:15:00.000+02:00,
20150425233000-673,2015-04-25T23:30:00.000+02:00,
20150425003000-496,2015-04-25T00:30:00.000+02:00,bruce hinchey
20150425010000-1951,2015-04-25T01:00:00.000+02:00,keith creagh;los angeles
20150425013000-980,2015-04-25T01:30:00.000+02:00,stephen poloz
20150425020000-1177,2015-04-25T02:00:00.000+02:00,hansel gratel;gen prayut;omar ali saifuddien;gen prawit;prawit wongsuwon;gen prayut chan-o-cha
20150425020000-700,2015-04-25T02:00:00.000+02:00,
20150425040000-338,2015-04-25T04:00:00.000+02:00,john kerry;vladimir putin;leona aglukkaq;sergei donskoi;sergey lavrov
20150425040000-880,2015-04-25T04:00:00.000+02:00,juanita rilling
20150425070000-1168,2015-04-25T07:00:00.000+02:00,
20150425070000-994,2015-04-25T07:00:00.000+02:00,mohammad shahab;munir ahmed;muneeza naqvi
20150425073000-1517,2015-04-25T07:30:00.000+02:00,bob dudley;adam sieminski;rex tillerson;gina mccarthy;kurt barrow;patrick pouyanne
20150425073000-1544,2015-04-25T07:30:00.000+02:00,mohammad shahab;munir ahmed;muneeza naqvi
20150425073000-596,2015-04-25T07:30:00.000+02:00,mohammad shahab;munir ahmed;muneeza naqvi
20150425073000-812,2015-04-25T07:30:00.000+02:00,michael perry;nick macfie
20150425074500-1013,2015-04-25T07:45:00.000+02:00,robert einhorn;scott snyder;victor cha
20150425080000-70,2015-04-25T08:00:00.000+02:00,bapu nagar;barkat nagar
20150425083000-84,2015-04-25T08:30:00.000+02:00,poornachandra rao;guntur srikakulam
20150425094500-119,2015-04-25T09:45:00.000+02:00,mohammad shahab;munir ahmed;minendra rijal
20150425100000-53,2015-04-25T10:00:00.000+02:00,dinesh acharya;laxman singh rathore;anupa shrestha;minendra rijal
20150425101500-619,2015-04-25T10:15:00.000+02:00,
20150425103000-698,2015-04-25T10:30:00.000+02:00,
20150425104500-1380,2015-04-25T10:45:00.000+02:00,naledi shange;michelle grobbelaar;funiwe daweti
20150425104500-195,2015-04-25T10:45:00.000+02:00,
20150425104500-920,2015-04-25T10:45:00.000+02:00,nawaz sharif;robin trygg;pushpa das;munir ahmed;jan m olsen;cho oyu;jenny adhikari;ang tshering
20150425110000-449,2015-04-25T11:00:00.000+02:00,laxmi prasad dhakal;krishna prasad dhakal
20150425111500-1097,2015-04-25T11:15:00.000+02:00,nawaz sharif;robin trygg;pushpa das;munir ahmed;jan m olsen;cho oyu;jenny adhikari;ang tshering
20150425111500-1149,2015-04-25T11:15:00.000+02:00,manesh shrestha;alex gavan
20150425113000-1187,2015-04-25T11:30:00.000+02:00,kamal singh bam;laxmi prasad dhakal;gyanendra shrestha;daniel mazur;alex gavan;alex gavan alex
20150425113000-1210,2015-04-25T11:30:00.000+02:00,nawaz sharif;robin trygg;pushpa das;zhou shengping;munir ahmed;zhou shengping xinhua;jan m olsen;niranjan shrestha;cho oyu;jenny adhikari;ang tshering
20150425114500-458,2015-04-25T11:45:00.000+02:00,nirmala sitharaman;arun jaitley
20150425120000-451,2015-04-25T12:00:00.000+02:00,
20150425120000-755,2015-04-25T12:00:00.000+02:00,
20150425121500-336,2015-04-25T12:15:00.000+02:00,
20150425121500-608,2015-04-25T12:15:00.000+02:00,craig morris ppchef;craig morris
20150425123000-156,2015-04-25T12:30:00.000+02:00,rajiv gandhi
20150425124500-393,2015-04-25T12:45:00.000+02:00,kamal singh bam
20150425130000-951,2015-04-25T13:00:00.000+02:00,
20150425133000-1279,2015-04-25T13:30:00.000+02:00,
20150425133000-17,2015-04-25T13:30:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;jan m olsen;jelle veyt;jenny adhikari;liz satow;ang tshering
20150425140000-118,2015-04-25T14:00:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;david a rothery;jan m olsen;jelle veyt;jenny adhikari;liz satow;ang tshering
20150425140000-1218,2015-04-25T14:00:00.000+02:00,abigail hunter;david arvan
20150425140000-215,2015-04-25T14:00:00.000+02:00,abigail hunter;david arvan
20150425141500-315,2015-04-25T14:15:00.000+02:00,
20150425141500-446,2015-04-25T14:15:00.000+02:00,
20150425143000-1251,2015-04-25T14:30:00.000+02:00,dennis whedbee
20150425143000-259,2015-04-25T14:30:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;david a rothery;niranjan shrestha;zhou shengping xinhua;jan m olsen;jelle veyt;liz satow;jenny adhikari;ang tshering
20150425144500-1136,2015-04-25T14:45:00.000+02:00,
20150425144500-491,2015-04-25T14:45:00.000+02:00,rahul gandhi;sonia gandhi;mt everest
20150425150000-1299,2015-04-25T15:00:00.000+02:00,nawaz sharif;carsten lillelund pedersen;munir ahmed;seth borenstein;david a rothery;jan m olsen;los angeles;jelle veyt;shirish vaidya;jenny adhikari;ang tshering;sushil koirala
20150425150000-992,2015-04-25T15:00:00.000+02:00,
20150425154500-1079,2015-04-25T15:45:00.000+02:00,malena castaldi;felipe iturrieta;thomson reuters;brian winnter;janet lawrence
20150425160000-989,2015-04-25T16:00:00.000+02:00,nawaz sharif;sushil koirala
20150425161500-1440,2015-04-25T16:15:00.000+02:00,zhang mao xinhua
20150425163000-1644,2015-04-25T16:30:00.000+02:00,nawaz sharif;azad kashmire
20150425163000-34,2015-04-25T16:30:00.000+02:00,wikimedia commons;reuben brewer;jerry brown
20150425164500-959,2015-04-25T16:45:00.000+02:00,bhalchandra nemade;shri aurobindo
20150425171500-634,2015-04-25T17:15:00.000+02:00,nitish kumar;anjani kumar singh
20150425173000-1731,2015-04-25T17:30:00.000+02:00,carsten lillelund pedersen;glomnes johansen;muneeza naqvi;jan m olsen;tenzing norgay;edmund hillary;gyanendra shrestha;ang tshering
20150425173000-305,2015-04-25T17:30:00.000+02:00,carsten lillelund pedersen;glomnes johansen;muneeza naqvi;jan m olsen;tenzing norgay;edmund hillary;gyanendra shrestha;ang tshering
20150425180000-1635,2015-04-25T18:00:00.000+02:00,laxmi dhakal;pushpa das;robin trygg;carsten lillelund pedersen;glomnes johansen;thomas frese carlsen;tenzing norgay;edmund hillary;gyanendra shretha;jenny adhikari;ang tshering
20150425180000-575,2015-04-25T18:00:00.000+02:00,nawaz sharif;carsten lillelund pedersen;munir ahmed;seth borenstein;david a rothery;jan m olsen;los angeles;jelle veyt;jenny adhikari;shrish vaidya;sushil koirala;ang tshering
20150425181500-235,2015-04-25T18:15:00.000+02:00,ian kelman;king birendra shah;daniel mazur;mohan krishna sapkota;alex gavan
20150425184500-1043,2015-04-25T18:45:00.000+02:00,
20150425190000-901,2015-04-25T19:00:00.000+02:00,gyanendra shrestha;daniel mazur;alex gavan;alex gavan alex;ram sharan mahat
20150425193000-216,2015-04-25T19:30:00.000+02:00,gordon janow;azim afif;tenzing norgay;edmund hillary;karly domb sadof;mount kumori;gyanendra shrestha;ang tshering
20150425194500-523,2015-04-25T19:45:00.000+02:00,john kerry;frances kerry;sandra maler;lisa lambert
20150425194500-538,2015-04-25T19:45:00.000+02:00,eric simonson
20150425201500-1008,2015-04-25T20:15:00.000+02:00,nick clegg;ed miliband;philip hammond;david cameron;greg smye-rumsby;gyanendra shretha;tanya barron;ang tshering;sebastian lovera
20150425201500-954,2015-04-25T20:15:00.000+02:00,alex gavan
20150425211500-1078,2015-04-25T21:15:00.000+02:00,john kerry;carsten lillelund pedersen;glomnes johansen;vikas swarup;jelle veyt;marin clark;shrish vaidya;deepak rauniar;sushil koirala;ang tshering
20150425211500-1174,2015-04-25T21:15:00.000+02:00,mariano castillo;john parajuli;susannah cullinane;shiwani neupane;jesse anderson;henry hanks;greg botelho;brabim kumar;rupa joshi;kashish das shrestha;manesh shreshtra
20150425213000-418,2015-04-25T21:30:00.000+02:00,alex gavan;arjun vajpai
20150425220000-167,2015-04-25T22:00:00.000+02:00,james jackson;seth borenstein;david wald;hari ghi
20150425223000-60,2015-04-25T22:30:00.000+02:00,dan fredinburg
20150425224500-1283,2015-04-25T22:45:00.000+02:00,baltimore sandtown;justice allah;andre bazeman;anthony batts;tanya peacher;malik shabazz;dante acree;leonard patterson
20150425224500-256,2015-04-25T22:45:00.000+02:00,robert b smith
20150425224500-316,2015-04-25T22:45:00.000+02:00,raj pandey;yubaraj ghimire;alex gaven;sitanshu kar
20150425230000-933,2015-04-25T23:00:00.000+02:00,
20150425231500-952,2015-04-25T23:15:00.000+02:00,everest facebook;daniel mazur;emma mitchell;gyanendra shretha;karen mcculloch;nick talbot
20150425234500-443,2015-04-25T23:45:00.000+02:00,pawan chandak;anarjit chauhan;sumaira abdulali;cidco vastu vihar
20150425004500-1821,2015-04-25T00:45:00.000+02:00,john lowe
20150425010000-1720,2015-04-25T01:00:00.000+02:00,
20150425010000-814,2015-04-25T01:00:00.000+02:00,stephen harper;philippe couillard;kathleen wynne
20150425010000-853,2015-04-25T01:00:00.000+02:00,ben jerry;robert tauxe
20150425013000-1331,2015-04-25T01:30:00.000+02:00,andrew stoner;jeremy buckingham;alan jones;justice lucy mccallum;nathan tinkler;matthew richardson;justice mccallum
20150425013000-223,2015-04-25T01:30:00.000+02:00,mark wilson
20150425014500-1401,2015-04-25T01:45:00.000+02:00,maria menounos;amy purdy;derek hough;amber riley
20150425023000-1174,2015-04-25T02:30:00.000+02:00,
20150425033000-884,2015-04-25T03:30:00.000+02:00,kinh duong vuong;ruot ngua;chieu hoang;le huynh dai;ruot ngua canal
20150425040000-1287,2015-04-25T04:00:00.000+02:00,john kerry;vladimir putin;leona aglukkaq;sergei donskoi;sergey lavrov
20150425043000-415,2015-04-25T04:30:00.000+02:00,
20150425043000-447,2015-04-25T04:30:00.000+02:00,
20150425064500-256,2015-04-25T06:45:00.000+02:00,john lowe
20150425064500-430,2015-04-25T06:45:00.000+02:00,takamitsu furumoto
20150425070000-104,2015-04-25T07:00:00.000+02:00,
20150425073000-629,2015-04-25T07:30:00.000+02:00,mohammad shahab;munir ahmed;muneeza naqvi
20150425081500-12,2015-04-25T08:15:00.000+02:00,dale romans;kent desormeaux;todd pletcher
20150425081500-777,2015-04-25T08:15:00.000+02:00,longmen shan
20150425090000-1011,2015-04-25T09:00:00.000+02:00,mohammad shahab;munir ahmed;minendra rijal
20150425090000-274,2015-04-25T09:00:00.000+02:00,john kerry;leona aglukkaq
20150425091500-783,2015-04-25T09:15:00.000+02:00,
20150425094500-277,2015-04-25T09:45:00.000+02:00,h zain mazen
20150425101500-1059,2015-04-25T10:15:00.000+02:00,
20150425103000-189,2015-04-25T10:30:00.000+02:00,banda sea;binaj gurubacharya;indian ocean
20150425103000-452,2015-04-25T10:30:00.000+02:00,pricewaterhousecoopers pw;aldemir bendine;daniel marques;joao vaccari
20150425104500-805,2015-04-25T10:45:00.000+02:00,
20150425111500-272,2015-04-25T11:15:00.000+02:00,narendra modihas
20150425113000-1343,2015-04-25T11:30:00.000+02:00,
20150425113000-38,2015-04-25T11:30:00.000+02:00,
20150425114500-1285,2015-04-25T11:45:00.000+02:00,dinesh acharya;laxman singh rathore;anupa shrestha;minendra rijal
20150425120000-114,2015-04-25T12:00:00.000+02:00,banda sea;binaj gurubacharya;indian ocean
20150425121500-1187,2015-04-25T12:15:00.000+02:00,pius perumana;andrew summerson;pope francis
20150425121500-493,2015-04-25T12:15:00.000+02:00,banda sea;indian ocean
20150425123000-192,2015-04-25T12:30:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;jan m olsen;jelle veyt;jenny adhikari;liz satow;ang tshering
20150425123000-419,2015-04-25T12:30:00.000+02:00,kara sea;gazprom nefts;gazprom neft
20150425124500-1154,2015-04-25T12:45:00.000+02:00,laxmi dhakal;nawaz sharif;pushpa das;carsten lillelund pedersen;munir ahmed;seth borenstein;jan m olsen;jelle veyt;jenny adhikari;liz satow;ang tshering
20150425124500-346,2015-04-25T12:45:00.000+02:00,vijay sinha;nitish kumar;anirudh kumar
20150425124500-447,2015-04-25T12:45:00.000+02:00,mark barineau;d todd griffith;phil mckenna;frank van mierlo
20150425130000-277,2015-04-25T13:00:00.000+02:00,kamal singh bam;laxman singh rathore
20150425131500-203,2015-04-25T13:15:00.000+02:00,pushpa das;julie mccarthy;alex gavan;minendra rijal;ang tshering
20150425134500-885,2015-04-25T13:45:00.000+02:00,robin trygg;carsten lillelund pedersen;glomnes johansen;thomas frese carlsen;muneeza naqvi;edmund hillary;jan m olsen;tenzing norgay;gyanendra shretha;jenny adhikari;ang tshering
20150425141500-1116,2015-04-25T14:15:00.000+02:00,robin trygg;carsten lillelund pedersen;glomnes johansen;thomas frese carlsen;muneeza naqvi;edmund hillary;jan m olsen;tenzing norgay;gyanendra shretha;jenny adhikari;ang tshering
20150425141500-789,2015-04-25T14:15:00.000+02:00,astro awani;daniel mazur;alex gavan
20150425143000-1215,2015-04-25T14:30:00.000+02:00,
20150425144500-1419,2015-04-25T14:45:00.000+02:00,
20150425150000-728,2015-04-25T15:00:00.000+02:00,maria theresa;tusitala sola;piet abbeloos;kusadasiand kepez;los angeles;stephen schwartz;dieter graf;torstein hagen
20150425153000-827,2015-04-25T15:30:00.000+02:00,edmund hillary;tenzing norgay;seth borenstein;paul earle
20150425161500-195,2015-04-25T16:15:00.000+02:00,binaj gurubacharya
