STATE,YEAR,MONTH,DAY,GLOBAL_COUNT,ENV_COUNT
IN,2016,10,1,33131,527
IN,2017,9,21,32645,1144
IO,2016,5,7,9,
IO,2016,8,5,64,1
IR,2015,4,20,1005,36
IR,2016,4,17,1379,60
IR,2017,1,12,2439,27
IR,2017,6,7,2895,8
IR,2017,11,23,436,4
IS,2015,3,22,5538,60
IS,2015,11,22,5050,39
IS,2015,12,14,6523,115
IS,2017,10,8,8927,49
IT,2015,4,26,103,9
IT,2016,1,7,896,133
IT,2016,5,22,171,
IT,2017,8,8,609,4
IZ,2015,8,9,488,
IZ,2017,1,3,1217,81
IZ,2017,3,9,891,6
IZ,2017,4,1,546,3
IZ,2017,7,1,340,2
JA,2015,4,17,1634,24
JA,2016,5,11,2070,27
JA,2016,12,18,1099,60
JA,2016,12,30,1406,16
JA,2017,11,12,1012,12
JE,2017,5,14,24,
JM,2015,9,15,618,24
JM,2015,11,16,529,5
JM,2016,10,29,718,23
JM,2017,5,17,842,41
JO,2016,2,1,488,22
JO,2016,4,6,680,2
JO,2017,1,5,164,2
KE,2016,4,28,1953,60
KE,2017,3,1,2483,51
KE,2017,8,3,1296,41
KG,2015,3,6,125,9
KG,2015,12,5,96,5
KG,2016,2,24,204,
KG,2016,2,26,185,
KG,2016,7,7,233,
KG,2016,10,13,367,12
KG,2017,8,1,99,
KN,2015,6,24,57,25
KN,2015,12,23,112,
KN,2016,6,10,165,
KN,2016,6,12,2,
KS,2015,3,19,1995,53
KS,2015,6,1,1957,42
KS,2015,9,26,726,1
KS,2015,10,1,1604,3
KS,2015,11,15,1309,28
KS,2015,12,17,1388,13
KS,2017,2,17,1050,
KS,2017,8,13,689,6
KU,2015,2,27,613,17
KU,2015,10,11,677,4
KU,2015,12,1,554,7
KU,2016,4,16,418,42
KU,2017,5,18,216,12
KU,2017,8,10,172,2
KV,2015,7,18,18,
KV,2015,8,4,54,12
KV,2015,8,21,38,
KV,2016,3,25,64,
KV,2016,9,7,4,
KV,2017,9,7,9,
KZ,2015,3,10,135,
KZ,2015,6,26,170,1
KZ,2016,5,15,73,
KZ,2017,5,27,45,
LA,2016,2,20,4,
LA,2016,8,10,53,
LA,2017,6,27,41,
LE,2015,9,1,1056,
LE,2015,10,16,1337,6
LE,2016,2,23,1738,141
LE,2016,5,3,444,
LE,2016,6,9,559,
LE,2016,9,9,416,11
LE,2017,8,19,88,1
LG,2016,9,3,18,
LG,2017,7,11,75,1
LH,2016,3,30,47,
LH,2016,7,12,54,
LH,2016,12,16,42,
LH,2017,1,23,34,
LH,2017,3,22,42,
LH,2017,7,9,3,
LH,2017,10,5,32,
LI,2015,4,10,135,3
LI,2015,5,31,131,
LI,2015,11,16,109,
LI,2015,11,23,309,10
LI,2016,3,7,205,
LI,2017,2,24,229,10
LI,2017,9,29,167,1
LO,2015,3,8,1,
LO,2015,4,15,23,
LO,2017,3,8,33,
LO,2017,4,20,19,1
LO,2017,8,7,72,
LO,2017,11,16,74,
LT,2016,9,2,75,2
LU,2015,4,2,51,
LU,2015,9,4,93,3
LU,2015,10,1,138,
LU,2016,6,3,77,
LU,2016,6,21,104,
LU,2016,7,19,85,
LU,2016,9,29,21,
LU,2017,4,14,8,
LU,2017,6,8,73,10
LY,2015,9,4,27,
LY,2015,10,29,11,
LY,2015,12,28,14,
LY,2016,12,10,84,3
LY,2017,5,29,46,
LY,2017,10,9,115,5
MC,2015,5,14,38,
MC,2015,7,19,57,
MC,2016,2,1,108,
MC,2017,5,26,83,15
MD,2015,2,20,3,
MD,2016,7,29,23,
MD,2017,3,29,59,
MD,2017,4,8,17,
MD,2017,8,26,2,
MG,2017,1,6,5,
MG,2017,3,20,5,
MG,2017,4,27,26,
MH,2016,1,20,1,
MH,2016,2,3,3,
MH,2017,10,27,42,
MI,2015,5,4,68,
MI,2015,9,7,187,
MI,2016,4,25,331,7
MI,2016,4,28,180,
MJ,2015,4,4,2,
MK,2015,7,4,62,
MK,2015,10,1,287,6
MK,2015,11,21,107,6
MK,2016,1,2,14,
MK,2016,10,10,216,
MN,2016,8,7,22,
MN,2017,3,12,8,
MN,2017,5,23,8,
MO,2015,11,30,201,15
MO,2016,9,17,67,
MO,2016,10,27,114,8
MP,2016,4,3,7,
MP,2016,10,26,52,
MP,2017,5,8,96,
MT,2015,3,27,571,10
MT,2015,7,16,482,5
MT,2016,6,28,464,
MU,2016,9,2,457,18
MU,2017,3,22,448,24
MV,2015,2,25,288,14
MV,2015,4,23,94,12
MV,2016,11,6,8,
MV,2016,11,11,32,
MV,2017,10,19,22,
MV,2017,11,10,1,
MX,2015,3,21,118,5
MX,2015,8,2,13,
MX,2015,8,10,70,
MX,2016,5,16,1618,59
MX,2016,5,30,1034,79
MX,2016,7,11,142,
MX,2017,1,24,1952,23
MX,2017,11,18,35,
MY,2015,4,26,3919,762
MY,2015,7,28,6540,54
MY,2015,12,20,3263,52
MY,2016,11,8,7258,267
MY,2016,12,25,3228,75
MY,2017,3,24,4033,145
MZ,2016,8,24,18,
NE,2015,7,18,3,
NG,2015,11,28,6,
NH,2016,3,7,23,
NH,2016,11,11,6,
NH,2017,2,25,32,17
NH,2017,3,29,4,
NI,2015,8,2,7274,70
NI,2015,12,18,11666,432
NI,2016,1,10,5258,59
NI,2016,3,7,14801,237
NI,2017,7,5,11740,233
NI,2017,8,19,10610,81
NL,2015,6,26,366,27
NL,2015,8,23,336,50
NL,2015,10,29,433,73
NL,2017,3,14,419,6
NL,2017,6,13,166,37
NL,2017,8,28,127,3
NO,2016,11,29,84,5
NO,2017,8,28,151,9
NO,2017,11,17,61,4
NP,2015,11,17,596,29
NP,2016,6,8,1148,49
NP,2017,1,7,805,34
NP,2017,1,21,1239,65
NP,2017,7,30,391,14
NS,2016,3,4,7,
NS,2016,6,7,1,
NS,2016,12,16,4,
NS,2017,2,13,2,
NS,2017,4,28,3,
NS,2017,5,22,9,
NU,2015,4,14,9,
NU,2016,5,17,8,
NZ,2015,3,18,4680,197
NZ,2015,7,14,5050,99
NZ,2015,8,6,3847,114
OD,2015,10,30,118,
OD,2015,11,16,183,3
PE,2015,7,12,2,
PE,2016,3,7,22,
PE,2016,11,18,38,
PE,2017,8,26,6,
PE,2017,11,7,30,11
PK,2016,6,5,5198,122
PK,2016,9,13,3069,111
PK,2017,5,23,5973,113
PL,2015,8,27,123,7
PL,2015,11,6,114,
PL,2016,9,16,182,
PL,2017,1,18,148,
PL,2017,7,27,83,
PL,2017,9,16,160,
PL,2017,10,26,143,
PM,2015,4,10,17,
PM,2017,8,6,24,
PM,2017,8,20,23,2
PO,2015,11,6,54,
PO,2016,7,17,13,
PO,2016,12,11,11,
PP,2016,2,15,45,3
PP,2016,5,9,39,
PP,2016,5,12,49,5
PP,2016,6,29,59,
PP,2017,1,27,84,
QA,2015,6,15,2284,55
QA,2016,12,28,1081,39
QA,2017,8,6,691,5
QA,2017,11,13,1714,132
RB,2015,4,25,2,
RB,2015,10,25,28,
RB,2016,8,2,158,
RB,2016,12,8,78,
RB,2017,9,19,60,
RI,2015,9,12,50,
RI,2016,2,12,186,
RI,2016,9,20,323,
RI,2016,12,21,247,
RI,2017,4,2,78,
RI,2017,5,1,331,32
RM,2016,3,3,13,
RM,2016,5,13,4,
RO,2015,5,12,588,14
RO,2015,9,28,257,
RO,2016,2,19,188,
RO,2016,6,20,390,
RO,2016,12,6,324,14
RO,2017,4,24,359,2
RP,2015,2,25,6894,201
RP,2015,6,11,4774,139
RP,2016,8,11,9116,89
RP,2016,9,7,8981,144
RP,2017,5,2,10934,48
RP,2017,9,7,8318,525
RS,2015,12,17,7098,3223
RS,2016,6,7,7185,2657
RS,2016,7,17,3970,1631
RS,2016,10,7,8731,2175
RS,2017,1,3,4116,1613
RS,2017,2,12,3924,1605
RS,2017,9,18,6334,2929
RW,2015,3,9,213,
RW,2015,5,26,246,
RW,2015,7,19,38,
RW,2015,8,9,61,
RW,2015,10,8,176,
RW,2016,8,31,265,37
RW,2016,11,15,235,9
RW,2017,5,21,147,
RW,2017,8,16,132,
RW,2017,10,10,570,7
SA,2015,2,25,1143,18
SA,2015,3,21,1126,19
SA,2015,3,27,1349,7
SA,2015,12,8,1138,67
SE,2016,1,31,10,
SE,2016,12,27,13,
SF,2015,3,27,9488,350
SF,2017,4,24,6094,157
SF,2017,6,26,5480,202
SG,2017,11,15,1,
SI,2016,5,8,9,
SI,2016,6,14,33,
SI,2017,8,16,14,
SI,2017,11,7,70,
SL,2015,4,5,60,
SL,2015,5,2,96,4
SL,2015,8,2,166,
SL,2015,8,8,25,
SL,2015,8,21,115,1
SL,2015,12,16,166,
SL,2016,9,26,69,3
SL,2017,5,3,52,
SL,2017,11,4,81,
SN,2016,1,14,2643,44
SN,2016,3,11,2172,129
SN,2016,6,25,1717,68
SN,2016,9,24,1611,63
SN,2017,4,2,585,56
SN,2017,5,17,588,4
SN,2017,7,22,296,7
SN,2017,10,8,212,9
SO,2015,8,30,395,13
SO,2015,11,29,1354,3
SO,2015,12,3,1464,65
SO,2016,3,14,1984,10
SO,2016,4,8,969,17
SO,2016,10,7,453,22
SO,2017,5,15,437,
SO,2017,6,21,506,4
SO,2017,7,16,297,
SP,2015,5,7,408,9
SP,2015,8,7,470,13
SP,2016,3,2,331,9
SP,2017,10,18,413,37
ST,2016,6,23,93,3
ST,2017,10,20,11,
SU,2016,1,27,183,3
SU,2016,5,19,126,13
SU,2016,8,31,249,
SU,2017,1,7,164,
SU,2017,3,21,233,6
SU,2017,8,3,163,
SW,2015,12,17,137,3
SW,2016,4,29,267,3
SW,2016,8,27,10,
SW,2017,4,6,142,
SW,2017,4,18,53,
SW,2017,5,31,114,15
SW,2017,8,12,15,
SW,2017,9,19,114,1
SX,2015,11,12,6,
SX,2017,3,8,4,
SX,2017,10,27,2,
SY,2016,4,4,3728,135
SY,2016,10,24,3655,101
SY,2016,11,19,2491,42
SY,2017,1,28,3079,63
SY,2017,8,8,3138,69
SY,2017,9,20,4486,100
SZ,2016,1,21,1214,24
SZ,2016,1,26,1138,4
SZ,2016,5,4,1105,62
SZ,2016,7,1,756,
SZ,2016,10,7,1033,144
SZ,2017,11,13,678,171
TD,2015,9,4,317,7
TD,2016,1,5,193,
TD,2016,3,1,407,
TD,2016,3,10,435,28
TD,2016,3,19,267,
TD,2016,5,16,377,36
TD,2016,7,11,144,2
TD,2017,3,18,229,
TD,2017,7,21,226,
TH,2015,3,7,983,51
TH,2015,7,23,2677,104
TH,2016,9,10,1126,3
TH,2017,1,20,822,28
TH,2017,3,8,648,28
TH,2017,4,2,428,18
TI,2016,7,24,106,
TI,2017,4,7,83,
TI,2017,9,25,19,
TK,2015,7,24,1,
TL,2015,3,23,2,
TL,2016,2,4,84,
TL,2016,2,23,7,
TN,2015,6,24,40,
TN,2017,4,7,2,
TO,2015,10,1,14,
TS,2016,3,2,73,1
TS,2016,7,19,14,
TS,2016,11,4,45,
TS,2016,12,14,4,
TU,2015,2,28,4293,14
TU,2015,3,16,6671,228
TU,2015,7,2,5751,36
TU,2016,4,21,3071,45
TU,2016,4,25,2885,43
TU,2017,1,30,4723,
TU,2017,10,10,1911,27
TU,2017,11,20,2103,12
TW,2015,8,21,569,17
TW,2015,10,17,678,18
TW,2015,12,2,533,5
TW,2017,1,17,1052,6
TX,2016,4,30,13,
TX,2017,8,8,57,
TZ,2015,7,30,123,
TZ,2015,12,28,234,
TZ,2016,6,19,639,3
TZ,2016,8,10,418,29
TZ,2016,11,30,446,1
TZ,2017,1,8,203,10
TZ,2017,6,25,147,2
UG,2016,1,2,360,14
UG,2017,4,30,471,10
UG,2017,9,15,354,
UG,2017,11,16,947,29
UK,2016,5,26,51385,868
UK,2016,8,2,42834,890
UK,2016,11,10,46356,1762
UK,2017,11,18,34439,1656
UP,2015,3,13,715,8
UP,2015,6,8,581,6
UP,2015,10,23,1290,32
UP,2015,11,17,610,7
UP,2017,5,14,180,
UP,2017,5,26,658,10
UP,2017,7,7,527,1
US,2015,4,11,261100,11159
US,2015,7,17,423919,7549
US,2016,7,2,355005,5765
US,2016,12,10,267704,9063
US,2016,12,15,462524,19330
US,2016,12,27,356796,7288
US,2017,3,30,495690,10244
US,2017,5,27,360363,9873
UV,2015,7,28,148,
UV,2016,7,19,3,
UZ,2015,3,3,106,1
UZ,2015,6,9,116,
UZ,2015,7,12,16,
UZ,2015,10,10,10,
UZ,2016,3,29,32,
UZ,2017,2,4,9,
UZ,2017,8,24,36,
UZ,2017,9,2,35,
VE,2015,2,21,190,
VE,2015,3,1,210,
VE,2016,7,13,330,4
VE,2016,8,1,506,21
VE,2017,6,23,156,4
VI,2015,4,13,9,
VI,2015,8,27,14,10
VI,2016,4,27,12,
VI,2016,12,3,14,
VM,2015,5,12,578,33
VM,2015,9,25,844,8
VM,2016,3,17,941,13
VM,2017,2,25,801,3
VM,2017,3,12,3432,9
VM,2017,8,10,549,1
VM,2017,9,2,416,13
VQ,2016,7,9,32,
VQ,2017,3,6,11,
VQ,2017,8,11,53,2
VQ,2017,9,26,39,9
VT,2015,5,16,132,
VT,2015,7,15,104,
VT,2016,5,4,42,
VT,2016,7,10,23,
VT,2017,1,9,144,
VT,2017,9,12,14,
VT,2017,11,12,6,
WA,2017,7,28,137,
WA,2017,8,9,79,
WS,2015,6,22,147,3
WS,2016,2,1,67,3
WS,2016,3,1,188,17
WS,2016,5,5,118,33
WS,2016,11,17,102,4
WS,2017,5,25,108,11
WZ,2015,2,22,60,
WZ,2015,7,4,83,
WZ,2015,12,24,17,3
WZ,2016,1,6,17,
WZ,2017,3,5,33,
WZ,2017,10,16,22,
YM,2015,4,26,70,
YM,2016,1,27,44,
YM,2016,2,2,20,
YM,2016,3,8,8,
YM,2017,11,4,74,
ZA,2016,1,17,341,3
ZA,2016,4,2,497,
ZA,2016,4,6,360,
ZA,2016,5,30,320,13
ZA,2016,11,12,48,3
ZA,2017,5,11,291,
ZA,2017,5,15,120,
ZA,2017,9,23,240,
ZI,2015,7,29,857,14
ZI,2015,12,22,1167,21
ZI,2016,6,13,911,12
ZI,2016,6,23,992,27
ZI,2016,9,17,1653,4
ZI,2017,2,3,2180,55
ZI,2017,5,23,945,15
ZI,2017,10,19,1330,
ZI,2017,10,31,1141,1
,2015,3,18,1538,
,2015,7,29,1000,
,2016,3,18,1300,
,2016,4,21,1161,
,2016,10,30,2057,
,2017,2,18,1371,
,2017,6,4,472,
,2017,7,1,644,
,2017,8,31,867,
,2017,10,18,1162,
AE,2015,4,8,4392,59
AE,2015,8,29,2533,34
AE,2015,9,20,2500,51
AE,2015,12,10,4103,253
AE,2016,8,23,2780,255
AE,2016,11,12,1558,59
AE,2016,12,18,2258,36
AE,2017,3,17,1587,87
AE,2017,3,19,2589,136
AE,2017,10,9,2377,87
AF,2015,5,15,378,
AF,2015,8,27,585,
AF,2015,10,13,458,
AF,2015,11,17,414,
AF,2015,12,27,442,5
AF,2016,1,12,525,11
AF,2016,5,30,949,1
AG,2015,10,14,28,
AG,2016,12,16,43,14
AG,2017,6,8,8,
AJ,2015,8,25,1094,25
AJ,2016,9,26,782,46
AJ,2016,10,12,2020,77
AJ,2016,11,24,821,73
AJ,2017,5,19,628,9
AJ,2017,7,10,998,28
AJ,2017,10,27,891,50
AL,2015,6,15,33,
AL,2015,7,12,99,
AL,2016,3,20,28,
AL,2016,5,23,165,
AL,2016,8,21,32,
AL,2017,3,25,24,
AL,2017,9,22,142,2
AM,2015,3,2,1878,3
AM,2015,6,4,1574,19
AM,2015,12,22,1605,1
AM,2017,6,30,1342,13
AO,2015,4,13,99,
AO,2015,6,13,42,
AO,2016,3,26,168,
AO,2016,5,15,71,
AO,2016,8,1,124,12
AO,2016,10,31,132,
AO,2017,2,1,224,1
AO,2017,2,15,168,
AO,2017,7,27,174,
AR,2015,7,16,216,
AR,2016,11,13,1,
AR,2016,12,23,329,
AR,2017,4,13,303,
AR,2017,6,27,18,
AS,2015,5,31,29348,850
AS,2015,10,7,68523,1523
AS,2015,10,13,75389,3013
AS,2016,1,14,43830,1102
AS,2016,5,13,32263,2360
AS,2016,8,2,29495,886
AS,2016,10,17,36919,581
AS,2017,4,22,17416,1254
AS,2017,5,31,36973,1227
AU,2015,12,25,1,
AU,2017,9,6,32,2
BA,2015,8,3,148,
BA,2015,8,5,105,
BA,2015,11,13,189,
BA,2017,6,30,94,
BA,2017,9,24,244,
BB,2015,9,2,136,1
BB,2015,12,28,23,
BB,2016,9,11,66,
BC,2016,6,28,173,
BC,2016,8,14,47,
BC,2016,9,6,138,
BC,2016,10,10,317,6
BC,2017,1,2,3,
BC,2017,9,13,101,9
BD,2015,4,16,86,9
BD,2015,5,27,131,
BD,2015,10,9,91,5
BD,2016,7,29,8,
BD,2016,8,23,97,4
BD,2016,9,28,64,1
BD,2017,8,27,4,
BE,2015,12,22,52,2
BE,2016,4,18,257,
BE,2016,10,26,113,
BE,2016,12,6,103,
BE,2017,1,30,77,1
BE,2017,3,17,98,8
BE,2017,9,24,22,
BF,2015,8,10,392,
BF,2016,4,13,216,
BF,2016,10,29,66,26
BF,2017,7,24,142,
BG,2015,7,12,2014,38
BG,2015,10,14,3252,197
BG,2015,12,4,2111,79
BG,2016,7,16,4919,18
BG,2016,8,26,2345,81
BG,2016,8,31,3024,37
BG,2017,3,31,2194,38
BG,2017,5,27,3003,197
BH,2015,3,2,70,
BH,2015,9,15,223,
BH,2015,10,20,124,49
BH,2016,8,30,143,
BH,2016,11,6,16,5
BK,2015,10,16,30,
BK,2016,4,25,16,
BK,2017,4,18,7,
BK,2017,11,19,21,
BM,2015,7,5,34,
BM,2016,5,6,423,10
BN,2015,6,23,38,
BN,2015,12,17,17,
BO,2015,9,4,202,
BO,2015,9,24,425,11
BO,2016,1,22,339,
BO,2016,3,9,393,5
BP,2015,4,14,97,2
BP,2015,7,16,73,
BP,2015,10,20,18,
BR,2015,7,6,47,2
BR,2016,4,5,44,1
BR,2016,8,20,29,
BR,2016,10,21,269,14
BR,2016,11,12,22,
BR,2017,10,28,9,
BT,2016,8,4,15,
BT,2017,2,11,24,
BU,2015,5,16,466,9
BU,2015,6,11,707,6
BU,2016,1,9,448,12
BU,2016,3,8,634,25
BU,2016,3,12,822,
BU,2016,11,6,404,16
BU,2017,3,4,288,12
BX,2015,9,12,226,9
BX,2017,2,22,223,10
BY,2016,7,10,6,
BY,2016,12,2,20,
BY,2017,2,27,46,
CA,2015,12,19,13278,284
CA,2016,5,11,26204,944
CA,2016,12,13,28855,1756
CA,2017,11,18,14637,410
CB,2015,2,20,546,17
CB,2016,5,7,85,
CE,2015,9,12,1335,24
CE,2016,11,8,903,38
CE,2016,11,11,1605,43
CE,2017,2,10,896,35
CE,2017,4,10,1136,1
CF,2016,6,16,5,
CH,2015,5,23,4917,44
CH,2015,5,28,8752,248
CH,2015,9,16,9691,372
CH,2015,11,3,8766,429
CH,2016,1,6,6850,233
CH,2017,10,5,6128,269
CI,2015,4,15,49,
CI,2016,3,5,18,
CI,2016,9,29,101,
CJ,2015,6,10,122,13
CJ,2016,6,28,145,
CJ,2017,2,5,10,
CJ,2017,3,18,13,
CJ,2017,10,20,126,3
CM,2015,7,30,178,
CM,2017,6,28,314,6
CM,2017,11,22,397,
CO,2015,4,20,62,
CO,2015,7,2,31,
CO,2016,11,15,53,
CS,2015,7,16,43,
CS,2015,8,3,92,41
CS,2015,10,4,39,1
CS,2016,5,31,112,
CS,2016,7,1,60,
CS,2016,9,4,36,4
CS,2016,11,26,60,16
CS,2017,1,26,61,
CS,2017,3,8,136,
CS,2017,7,28,100,14
CS,2017,10,3,1525,124
CS,2017,10,12,107,
CS,2017,11,11,168,1
CU,2015,3,11,640,
CU,2015,7,23,316,2
CU,2015,11,19,454,21
CU,2015,12,7,432,2
CU,2016,4,5,567,5
CU,2016,5,6,376,
CU,2017,10,12,93,4
CW,2015,4,8,9,
CW,2017,9,29,40,
CY,2016,10,7,483,80
CY,2016,11,5,236,
DA,2015,7,23,22,
DA,2015,9,15,37,
DA,2015,10,29,25,1
DA,2015,11,26,30,
DA,2015,12,7,31,1
DA,2016,1,11,10,
DA,2016,1,12,9,
DA,2016,3,26,3,
DA,2016,7,5,110,3
DA,2017,7,25,14,
DJ,2016,1,25,11,
DJ,2017,4,17,3,
DO,2015,6,19,8,
DO,2016,3,3,27,
DO,2016,3,25,11,
DO,2016,10,26,20,
DR,2015,4,4,33,
DR,2015,11,17,31,
DR,2016,6,24,21,
DR,2016,12,11,3,
DR,2017,1,11,25,1
DR,2017,4,28,31,5
DR,2017,11,7,16,
EC,2015,8,6,49,
EC,2016,10,15,1,
EC,2017,7,27,9,
EC,2017,9,7,33,
EC,2017,10,2,10,4
EG,2015,11,29,764,54
EG,2016,2,26,730,29
EG,2017,9,3,486,38
EI,2015,7,7,5408,26
EI,2017,2,24,4797,60
EI,2017,5,13,2430,27
EI,2017,7,15,2072,43
EN,2015,5,31,4,
EN,2016,2,26,18,
EN,2016,4,9,24,
EN,2016,10,19,139,
ER,2015,6,21,40,
ER,2015,9,9,53,
ER,2015,11,14,29,6
ER,2016,2,8,36,
ER,2016,3,12,30,10
ER,2017,3,4,10,
ER,2017,3,17,6,
ER,2017,5,26,8,
ER,2017,6,9,10,
ET,2015,10,3,308,14
ET,2015,10,21,47,
ET,2015,11,20,120,15
ET,2017,1,27,367,2
ET,2017,9,21,741,
ET,2017,10,14,187,
EZ,2015,9,28,382,70
EZ,2016,6,7,306,20
EZ,2017,2,14,171,2
EZ,2017,2,15,123,2
FI,2015,7,9,125,26
FI,2015,10,11,9,
FI,2015,11,24,102,13
FI,2016,2,3,91,
FI,2016,4,16,32,
FI,2016,8,24,115,
FJ,2015,10,6,460,45
FJ,2015,10,25,204,13
FJ,2016,5,12,548,13
FJ,2016,7,29,352,7
FJ,2016,8,29,395,7
FJ,2017,3,30,394,24
FJ,2017,7,20,566,44
FK,2017,2,15,5,
FR,2016,11,6,547,9
FR,2016,11,24,1156,36
FR,2016,12,9,1008,45
FR,2017,5,4,648,22
FR,2017,9,8,1155,78
FR,2017,10,25,1303,22
GA,2015,4,17,187,
GA,2015,4,19,24,
GA,2016,8,23,163,
GG,2015,8,17,95,
GG,2015,9,23,110,
GG,2016,6,8,196,
GG,2017,4,27,193,
GG,2017,6,30,59,
GG,2017,9,14,118,3
GG,2017,10,25,167,
GH,2015,9,16,3960,23
GH,2016,3,14,3336,49
GH,2016,7,9,2167,66
GI,2015,9,12,11,
GI,2016,3,20,8,
GI,2016,4,24,19,
GJ,2015,5,4,28,
GJ,2015,5,5,18,
GJ,2017,7,14,32,
GJ,2017,9,25,69,34
GL,2016,1,9,2,2
GM,2015,2,19,2176,145
GM,2015,8,7,1699,68
GM,2015,8,18,1497,61
GM,2016,6,2,1806,101
GM,2017,8,31,1012,61
GM,2017,11,23,170,
GQ,2015,10,31,54,
GQ,2015,12,31,223,2
GQ,2016,4,10,84,
GQ,2016,5,25,174,
GQ,2016,7,6,153,
GQ,2017,2,16,290,
GQ,2017,2,27,143,
GQ,2017,11,12,7,
GR,2015,3,1,445,6
GR,2015,3,5,731,3
GR,2016,10,28,251,3
GR,2017,6,22,427,6
GR,2017,10,31,410,
GT,2015,10,8,3,
GV,2016,5,5,8,
GY,2015,11,26,359,
GY,2016,2,21,297,17
GY,2016,11,18,369,20
GY,2017,3,13,282,2
GY,2017,8,20,203,22
GY,2017,9,9,324,37
GY,2017,10,28,199,1
HA,2015,9,18,28,
HA,2015,10,22,9,
HA,2015,12,5,20,
HK,2015,3,5,295,16
HK,2016,6,26,56,
HK,2016,12,14,159,
HK,2017,4,19,109,
HO,2015,4,30,16,
HR,2015,6,22,526,3
HR,2016,1,5,38,
HR,2016,2,8,309,
HR,2017,9,30,7,
HR,2017,11,7,20,
HU,2015,11,13,189,3
HU,2017,2,28,119,
IC,2015,7,15,65,
IC,2016,9,10,47,2
IC,2017,5,10,17,5
ID,2015,6,2,539,7
ID,2015,6,22,974,38
ID,2016,1,20,1660,127
ID,2016,3,27,504,4
ID,2017,6,6,792,37
IM,2015,8,8,11,1
IM,2015,9,12,5,
IM,2015,11,8,2,
IM,2016,3,24,28,
IM,2016,7,22,34,
IN,2016,5,9,30204,829
IN,2016,6,26,27226,555
IN,2017,7,5,36262,543
IN,2017,7,24,32427,922
IN,2017,9,9,27935,2776
IO,2016,2,24,9,
IR,2016,6,3,3907,353
IR,2016,11,24,4329,78
IR,2017,7,15,2416,38
IR,2017,10,4,3027,99
IS,2016,2,23,21226,18
IS,2016,10,22,9140,132
IS,2016,11,6,9913,14
IS,2017,2,11,10237,35
IS,2017,11,1,20269,47
IT,2016,1,4,1127,19
IT,2017,2,6,727,5
IT,2017,4,5,913,69
IT,2017,9,4,469,76
IT,2017,10,28,286,5
IZ,2015,10,26,695,9
IZ,2016,1,4,811,7
IZ,2016,4,6,887,9
IZ,2016,10,7,862,40
IZ,2017,1,29,1641,32
IZ,2017,3,24,1748,18
JA,2015,9,10,1245,55
JA,2015,10,14,2030,55
JA,2016,2,10,1275,56
JA,2016,2,23,1667,75
JA,2017,9,27,1715,27
JM,2015,3,5,837,12
JM,2015,3,16,888,21
JM,2015,6,13,356,
JM,2015,11,10,696,60
JM,2016,10,14,341,21
JM,2016,11,23,838,67
JM,2016,12,19,863,7
JM,2017,7,15,379,4
JM,2017,8,4,581,3
JO,2015,12,10,344,12
JO,2016,12,15,219,2
JO,2017,9,18,431,8
JO,2017,10,8,226,
KE,2015,2,20,1947,85
KE,2017,1,12,1791,23
KE,2017,2,2,2128,56
KE,2017,3,4,2385,146
KE,2017,7,26,1157,6
KG,2015,5,11,25,
KG,2015,7,25,45,
KG,2015,8,2,2,
KG,2016,9,26,126,
KG,2017,2,25,109,
KN,2015,12,15,153,
KN,2016,7,2,421,
KN,2017,9,21,21,
KS,2015,3,11,1785,11
KS,2015,7,1,1753,63
KS,2017,4,23,768,
KU,2015,10,8,552,1
KU,2016,1,30,390,30
KU,2016,6,21,281,17
KU,2017,7,29,414,2
KV,2016,4,8,97,37
KV,2017,6,23,23,
KV,2017,9,3,1,
KV,2017,11,8,91,
KZ,2015,7,3,118,4
KZ,2016,3,25,75,
KZ,2017,3,31,39,
LA,2015,8,10,44,
LA,2017,4,19,2,
LE,2015,2,22,1902,78
LE,2015,10,22,47,
LE,2015,11,5,1177,14
LE,2016,6,10,425,6
LE,2016,6,18,196,
LE,2017,5,2,408,22
LE,2017,5,26,330,7
LG,2015,5,28,199,
LG,2015,6,3,244,25
LG,2016,2,28,12,
LG,2016,5,8,84,
LG,2016,6,23,64,
LG,2016,10,15,30,
LG,2016,12,4,22,
LH,2016,3,27,13,
LH,2016,6,5,6,
LH,2016,6,10,33,
LH,2017,10,10,69,
LI,2015,6,16,300,10
LI,2017,10,21,40,
LO,2015,11,29,2,
LO,2016,1,12,36,
LO,2017,7,4,88,
LT,2016,1,21,32,8
LT,2016,1,22,243,
LT,2016,11,12,17,
LU,2016,3,2,136,
LU,2016,12,19,31,1
LU,2017,4,26,58,1
LU,2017,9,17,118,1
LU,2017,10,19,204,13
LU,2017,11,10,180,9
LU,2017,11,19,56,3
LY,2015,5,13,8,
LY,2016,2,17,61,
LY,2016,4,4,35,
MC,2015,6,30,33,
MC,2015,7,12,81,8
MC,2015,8,27,91,
MC,2017,3,31,100,
MC,2017,6,16,77,
MC,2017,7,31,85,1
MD,2015,5,7,2,
MD,2015,9,2,2,
MG,2015,5,25,91,6
MG,2016,3,17,75,1
MG,2016,7,4,13,
MG,2017,3,7,20,
MH,2015,3,8,25,
MH,2016,4,10,32,20
MI,2015,8,5,200,9
MI,2015,10,11,136,2
MI,2016,3,13,123,
MI,2016,10,14,265,
MI,2017,5,2,214,5
MI,2017,5,10,260,15
MI,2017,9,8,278,
MI,2017,9,24,94,
