STATE,YEAR,MONTH,DAY,GLOBAL_COUNT,ENV_COUNT
EC,2016,1,7,9,
EC,2016,3,22,11,
EC,2016,11,26,18,
EC,2017,7,19,16,
EG,2016,10,1,667,
EG,2016,10,31,999,44
EG,2017,8,10,590,26
EI,2015,12,10,4064,319
EI,2016,4,25,4674,157
EI,2016,7,2,4038,16
EI,2016,9,2,6028,176
EI,2017,10,17,3353,112
EN,2015,6,8,123,
EN,2016,4,6,61,
EN,2016,6,24,16,
EN,2017,2,8,77,
EN,2017,9,28,26,
EN,2017,10,5,19,
ER,2015,10,7,9,
ER,2015,12,27,37,
ER,2016,3,2,291,2
ER,2016,4,21,119,2
ER,2016,4,29,18,
ER,2016,8,31,2,
ER,2017,8,23,71,
ER,2017,10,15,26,
ES,2016,2,5,1,
ET,2015,6,10,198,
ET,2015,6,23,176,
ET,2015,6,29,167,7
ET,2015,7,26,316,
ET,2015,11,21,105,6
ET,2016,4,19,468,3
ET,2016,5,13,566,
ET,2016,11,1,254,
EZ,2015,9,3,1038,15
EZ,2015,12,28,244,28
EZ,2016,10,30,477,
EZ,2017,3,19,30,
FG,2016,12,19,1,
FI,2015,3,28,20,2
FI,2016,3,4,67,2
FI,2016,3,31,44,
FI,2016,9,30,116,14
FI,2016,11,10,60,
FI,2017,2,14,34,
FI,2017,7,18,53,
FJ,2015,2,18,86,16
FJ,2015,6,4,354,21
FJ,2015,6,14,204,13
FJ,2015,11,14,264,2
FK,2016,2,20,3,
FK,2016,9,2,3,
FR,2015,10,9,606,18
FR,2015,10,30,803,26
FR,2015,12,16,842,32
FR,2015,12,21,442,8
FR,2016,1,2,350,4
FR,2016,7,3,640,18
FR,2017,2,27,1890,100
FR,2017,6,26,965,44
GA,2015,7,5,90,
GA,2017,9,26,74,
GG,2015,11,18,308,
GG,2016,2,13,117,
GG,2016,8,22,46,
GG,2017,7,12,118,
GG,2017,7,30,90,
GH,2015,3,6,2651,142
GH,2016,6,3,2631,158
GH,2016,6,5,1201,62
GH,2017,8,9,2958,67
GH,2017,9,7,3358,316
GI,2016,4,30,39,
GI,2016,9,8,30,
GI,2017,1,12,36,
GI,2017,6,9,59,
GI,2017,9,1,6,
GI,2017,10,8,52,
GI,2017,10,23,6,
GJ,2016,9,1,13,
GJ,2017,7,11,16,
GJ,2017,10,18,3,2
GL,2016,1,16,7,
GL,2016,2,8,32,
GM,2015,5,21,1643,50
GM,2015,6,22,1717,42
GM,2016,7,6,1451,52
GM,2016,9,6,1422,23
GM,2017,11,12,769,16
GQ,2015,3,1,136,4
GQ,2016,5,10,176,
GQ,2016,12,3,52,1
GQ,2017,7,16,28,
GR,2016,6,5,367,1
GR,2016,8,16,408,29
GR,2016,12,7,228,
GR,2017,6,20,372,2
GT,2017,4,23,3,
GT,2017,9,22,1,
GV,2016,9,27,9,2
GV,2017,4,4,64,14
GY,2015,11,18,328,1
GY,2016,11,21,356,1
GY,2017,1,29,230,1
GY,2017,6,10,216,
GY,2017,8,8,344,13
HA,2015,7,13,25,
HA,2015,10,4,16,
HA,2017,2,7,55,
HA,2017,7,19,3,
HK,2015,11,10,307,
HK,2015,12,8,199,17
HK,2016,5,24,64,
HK,2016,5,26,118,6
HK,2016,6,8,118,
HK,2017,5,18,125,2
HK,2017,5,26,124,13
HK,2017,8,5,1,
HK,2017,11,11,8,
HO,2015,6,25,19,
HR,2015,6,13,297,
HR,2015,10,8,254,
HR,2016,5,19,107,
HR,2016,8,2,6,
HU,2015,7,27,89,
HU,2015,12,9,129,
IC,2017,5,5,73,4
IC,2017,6,21,52,
IC,2017,7,29,19,2
IC,2017,8,2,5,2
IC,2017,8,23,70,2
ID,2015,7,29,1042,42
ID,2015,9,25,965,26
ID,2016,3,19,450,13
ID,2016,5,22,424,3
ID,2017,10,3,681,27
ID,2017,11,3,758,19
IM,2015,11,7,24,
IM,2016,6,16,6,
IM,2016,10,17,16,1
IM,2017,2,15,50,
IM,2017,7,7,8,1
IN,2015,4,13,33658,794
IN,2015,11,10,27812,711
IN,2015,12,18,29480,794
IN,2016,6,16,40155,864
IN,2016,10,13,37822,745
IN,2017,3,23,40329,498
IO,2015,7,29,3,
IO,2015,10,16,2,
IO,2016,5,14,65,
IO,2016,6,21,79,
IO,2016,7,12,63,1
IR,2015,12,28,1226,9
IR,2017,1,17,2345,16
IR,2017,4,17,2570,21
IR,2017,9,9,2158,31
IS,2015,2,25,7663,97
IS,2015,4,21,6580,122
IS,2015,7,18,2898,3
IS,2016,5,26,14137,82
IS,2016,10,30,7418,119
IT,2015,8,21,2670,13
IT,2016,1,20,788,25
IT,2016,2,14,319,5
IT,2016,10,19,1067,4
IT,2017,7,16,256,2
IZ,2015,3,29,627,5
IZ,2015,5,27,686,6
IZ,2015,12,29,463,10
IZ,2016,1,29,523,9
IZ,2016,3,27,548,3
IZ,2016,12,5,1153,32
IZ,2017,4,22,701,2
IZ,2017,5,24,968,19
JA,2015,4,14,1725,41
JA,2015,8,19,1566,69
JA,2015,10,4,1100,45
JA,2016,2,25,1649,57
JA,2016,6,11,792,40
JA,2017,1,21,1726,43
JM,2015,4,20,804,30
JM,2015,5,22,835,26
JM,2015,7,21,606,2
JM,2015,8,18,505,12
JM,2015,9,28,675,10
JM,2017,3,21,1115,11
JM,2017,9,4,636,23
JO,2015,3,23,502,15
JO,2016,6,27,239,1
JO,2017,4,18,528,10
JO,2017,8,26,229,18
KE,2015,6,21,1171,30
KE,2015,8,11,2090,6
KE,2015,11,24,1909,69
KE,2016,4,21,2370,52
KE,2016,5,31,2648,16
KE,2016,9,19,2810,25
KE,2017,5,7,1161,4
KG,2015,2,19,164,18
KG,2016,5,18,186,
KG,2016,6,24,242,6
KN,2015,10,27,18,
KN,2016,2,28,4,
KN,2016,10,20,293,2
KN,2016,11,12,263,
KN,2016,12,21,70,9
KN,2017,5,22,17,
KN,2017,9,15,11,
KS,2015,12,2,1988,70
KS,2016,2,10,1110,14
KS,2016,5,5,773,30
KS,2017,3,2,1513,20
KU,2015,6,27,576,2
KU,2016,1,1,140,1
KU,2016,2,27,367,
KU,2016,6,18,322,
KU,2016,7,26,138,
KU,2016,8,23,222,1
KU,2016,11,22,223,
KV,2015,11,12,62,6
KV,2016,2,14,136,13
KZ,2016,8,7,3,
KZ,2017,4,24,41,
KZ,2017,9,30,6,4
KZ,2017,11,20,136,
LA,2016,3,17,57,
LA,2017,7,27,9,
LE,2015,9,29,1070,16
LE,2016,5,16,413,
LE,2016,6,20,423,22
LE,2017,11,14,410,9
LG,2015,11,9,195,
LG,2016,11,23,395,2
LG,2017,7,17,181,9
LH,2016,1,14,127,
LH,2017,1,19,28,
LH,2017,1,26,14,
LH,2017,10,9,85,
LI,2015,7,2,182,1
LI,2016,2,11,164,5
LI,2016,10,27,224,2
LI,2017,4,16,104,
LI,2017,9,7,192,
LI,2017,9,11,131,11
LI,2017,9,16,62,3
LO,2015,11,27,36,15
LO,2017,2,1,86,5
LU,2016,9,20,36,
LU,2017,3,12,35,
LU,2017,9,22,131,9
LY,2016,1,9,10,
LY,2016,8,10,20,
LY,2016,8,30,53,
LY,2016,9,13,68,1
LY,2017,10,20,133,
MA,2016,6,5,8,
MC,2016,2,27,1,
MC,2017,7,13,138,3
MD,2015,4,23,14,
MD,2015,7,8,1,
MD,2017,5,5,106,12
MG,2016,7,30,3,
MH,2016,1,23,5,
MI,2015,6,14,157,
MI,2015,11,20,134,12
MI,2015,12,5,80,2
MI,2016,5,15,77,
MI,2017,1,29,118,
MI,2017,3,26,124,13
MI,2017,7,25,183,
MJ,2015,4,30,14,
MJ,2015,7,20,1,
MJ,2015,8,1,5,
MJ,2016,2,26,14,
