Day,Month,Year,Actor,Count
23,12,2015,el nino,794
24,10,2015,brandie galle,794
21,6,2016,santa barbara,793
6,6,2016,donald trump,792
26,5,2015,victor zamora,791
26,6,2016,jerry brown,790
25,2,2016,cody creel,790
26,6,2016,earl ray tomblin,788
13,11,2017,kokab fard,788
25,1,2016,juliet linderman,788
25,8,2017,melissa munguia,787
24,12,2015,greg carbin,787
29,11,2016,dolly parton,786
26,5,2015,mike benevides,786
5,9,2017,atlantic ocean,786
24,8,2016,savino damelio,786
15,8,2016,suzie blankenship,785
10,10,2017,brad alexander,785
26,5,2017,donald trump,784
23,12,2015,los angeles,784
26,7,2016,atlantic ocean,784
26,8,2017,claudia lauer,783
10,10,2017,noah lowry,783
11,10,2016,vladimir putin,783
12,12,2015,kumi naidoo,783
25,1,2016,scott mayerowitz,783
25,1,2016,jake pearson,783
21,9,2017,ricardo rossello,782
24,2,2016,ken graham,782
1,4,2015,andrew getty,782
10,3,2015,abu dhabi,782
10,3,2015,bertrand piccard,782
21,9,2016,donald trump,782
25,1,2016,william mathis,782
25,1,2016,lolita c baldor,782
1,4,2015,los angeles,781
30,4,2015,pemba tamang,781
26,10,2015,zahid rafiq,780
2,9,2017,los angeles,779
5,10,2015,mitch weiss,779
5,10,2015,bruce smith,779
22,4,2016,abu dhabi,779
8,5,2015,skylyna stewart,778
11,3,2016,john bel edwards,778
26,5,2015,joe mccomb,778
28,8,2017,william cain,778
3,9,2016,mark randell,778
17,6,2015,judd kneuvean,778
28,10,2016,cecily fong,777
5,10,2015,susanne schafer,777
1,12,2016,dolly parton,777
24,8,2016,fabio gammarota,777
23,6,2015,david doerfler,776
14,3,2015,chloe morrison,776
12,12,2015,matthew lee,776
25,1,2016,jeffrey perez,776
13,12,2015,francois hollande,775
3,9,2016,barack obama,775
10,5,2016,rachel notley,775
29,11,2015,barack obama,774
1,10,2015,eric blake,773
8,5,2015,gary knight,772
4,10,2016,ronlande francois,772
3,9,2016,jeff martin,772
23,5,2015,el capitan,772
26,8,2017,joe mccomb,771
26,4,2015,mukesh kafle,770
24,4,2016,bertrand piccard,770
22,5,2015,patrick hodgins,769
8,10,2016,nathan deal,769
7,9,2017,ricardo rossello,769
24,6,2015,doug johnson,769
25,8,2017,seth borenstein,768
8,9,2017,barack obama,768
9,11,2015,barack obama,768
11,9,2017,phil klotzbach,768
25,10,2015,jeff degraff,768
10,9,2017,king willem-alexander,767
27,8,2017,jamie stengle,767
1,10,2015,stephen russell,767
29,8,2017,george w bush,767
30,8,2017,roger erickson,767
25,8,2017,brian maxwell,765
3,4,2017,ginny higgins,765
23,7,2016,los angeles,764
24,4,2016,abu dhabi,764
19,2,2015,robert van winkle,763
9,5,2015,sean murphy,763
15,3,2015,chloe morrison,763
2,10,2015,stephen russell,763
19,8,2016,john bel edwards,762
8,9,2017,jeremy dehart,762
11,10,2016,pat mccrory,762
23,1,2017,jenny bullard,762
9,10,2016,david villmow,761
5,6,2017,donald trump,761
12,10,2016,hillary clinton,761
28,8,2017,david j phillip,761
30,8,2015,mitch landrieu,760
28,8,2017,jefferson davis,760
23,11,2016,barack obama,760
12,10,2017,nick hinman,759
13,11,2017,jon gambrell,759
8,10,2017,donald trump,758
1,6,2015,abu dhabi,758
8,5,2015,blake lee,757
11,11,2016,donald trump,757
3,5,2016,bertrand piccard,757
15,8,2016,mike mcguire,756
6,6,2015,masidi manjun,756
28,5,2015,jason hansford,755
18,5,2016,rafael correa,755
2,9,2016,nathan deal,755
9,3,2017,donald trump,755
1,3,2017,bruce rauner,755
22,1,2017,catherine howden,755
8,5,2015,gary mcmanus,754
30,3,2017,donald trump,754
25,1,2016,bruce shipkowski,753
28,5,2015,domingo montalvo jr,752
27,7,2016,los angeles,752
3,5,2016,andre borschberg,751
13,5,2015,laxmi dhakal,751
25,8,2017,bill pennington,750
3,3,2017,donald trump,750
13,11,2017,rahman hani,750
30,8,2017,derrick freeman,750
28,5,2015,steve johnson,749
28,5,2015,kharley smith,749
22,5,2015,joel reynolds,749
9,7,2017,santa barbara,748
8,6,2017,donald trump,747
29,8,2015,kerry emanuel,746
20,4,2016,barack obama,746
12,9,2015,jerry brown,745
17,8,2016,eric sherwin,745
24,8,2016,gino petrucci,745
23,1,2016,juliet linderman,744
1,6,2017,vladimir putin,744
23,1,2016,adrian sainz,743
23,1,2016,john raby,743
30,9,2017,donald trump,743
24,6,2016,david cameron,743
8,9,2017,pam brekke,742
27,6,2016,jerry brown,742
22,11,2016,fukushima dai-ichi,742
10,5,2015,philip schumacher,742
13,11,2017,reza mohammadi,742
24,5,2015,rudy olivo,742
18,10,2015,alexander pama,742
29,8,2017,edmond russo,742
25,6,2015,doug johnson,741
5,8,2015,barack obama,741
7,10,2016,emmanuel pierre,741
28,6,2016,earl ray tomblin,740
9,2,2017,vicki granado,740
15,4,2016,yoshihide suga,740
25,1,2016,ben nuckols,740
12,10,2016,donald trump,739
17,6,2016,santa barbara,739
25,8,2017,david warren,738
25,8,2017,frank bajak,738
25,8,2017,catherine lucey,738
25,8,2017,diana heidgerd,738
25,8,2017,jamie stengle,738
5,12,2016,sally jewell,738
12,5,2015,chuck allen,738
3,10,2017,donald trump,738
27,8,2017,juan lozano,737
11,2,2017,renato solidum,737
23,1,2016,superstorm sandy,736
15,10,2016,john kerry,735
31,5,2015,barack obama,735
31,8,2017,jeff lindner,735
19,11,2016,donald trump,735
26,4,2015,sophia bush,734
28,8,2017,robert herbert,734
28,8,2017,ed gonzalez,734
3,10,2016,david culpepper,734
14,9,2015,lynn valentine,734
8,10,2016,mesa verde,733
18,6,2015,vivek mahale,733
27,8,2017,larry sinclair,733
27,5,2015,barack obama,733
6,9,2016,los cabos,733
25,9,2017,donald trump,732
18,9,2017,ricardo rossello,732
29,8,2017,mitch landrieu,732
26,8,2017,pamela montes,731
26,8,2017,johanna cochran,731
